0011,出,0011_1.jpg,0011_2.jpg,凵,5,常用漢字,1年,N5,10級,なし,シュツ,shutsu,スイ,sui,,,,,,,で・る（～が）,de-ru(～ga),だ・す（～を）,da-su(～wo),,,,,,,,,,,,,,,,,あるところからはなれる。<ruby><rt>内</rt><rb>うち</rb></ruby>から<ruby><rt>外</rt><rb>そと</rb></ruby>にだす。あるところにいく。うまれでる。<ruby><rt>他</rt><rb>ほか</rb></ruby>,提出（する）,ていしゅつ（する）,teishutsu(suru),"present, hand in",卒業論文そつぎょうろんぶんを提出ていしゅつする。,出席（する）,しゅっせき（する）,shusseki(suru),attendance,授業じゅぎょうのはじめに出席しゅっせきをとる。,思い出す,おもいだす,omoidasu,"remember, recall",国くにのことを思おもい出だすと、さびしくなる。,出身,しゅっしん,輸出（する）,ゆしゅつ（する）,出会う,であう,出す・出る,だす・でる,出かける・出掛ける,でかける・でかける
0012,分,0012_1.jpg,0012_2.jpg,刀,4,常用漢字,2年,N5,9級,なし,ブン,bun,フン,hun,ブ,bu,,,,,わ・かれる（～が）,wa-kareru(～ga),わ・ける（～を）,wa-keru(～wo),わ・かる（～が）,wa-karu(～ga),わ・かつ（～を）,wa-katsu(～wo),,,,,,,,,,,,,わける。あるものの<ruby><rt>一部</rt><rb>いちぶ</rb></ruby>。わかる。やくわり。<ruby><rt>程度</rt><rb>ていど</rb></ruby>。<ruby><rt>時間</rt><rb>じかん</rb></ruby>・<ruby><rt>角度</rt><rb>かくど</rb></ruby>などの<ruby><rt>単位</rt><rb>たんい</rb></ruby>、～<ruby><rt>分</rt><rb>ふん</rb></ruby>。<ruby><rt>長</rt><rb>なが</rb></ruby>さ・<ruby><rt>割合</rt><rb>わりあい</rb></ruby>などの<ruby><rt>単位</rt><rb>たんい</rb></ruby>、～<ruby><rt>分</rt><rb>ぶ</rb></ruby>。,自分,じぶん,jibun,"oneself, I",自分じぶんのことは自分じぶんでする。,気分,きぶん,kibun,"feeling, mood",バスがゆれて気分きぶんが悪わるくなった。,多分,たぶん,tabun,"probably, maybe",多分たぶん、あの人ひとは、自分じぶんのことしか考かんがえていないと思おもいます。,～分,～ふん・～ぷん,大部分・一部分,だいぶぶん・いちぶぶん,成分,せいぶん,半分,はんぶん,分数,ぶんすう
0013,長,0013_1.jpg,0013_2.jpg,長,8,常用漢字,2年,N5,9級,なし,チョウ,chou,,,,,,,,,なが・い,naga-i,,,,,,,,,,,,,,,,,,,ながい。ながさ。そだつ。すぐれている。いちばん<ruby><rt>上</rt><rb>うえ</rb></ruby>の<ruby><rt>人</rt><rb>ひと</rb></ruby>。,延長,えんちょう,enchou,extension,0れい対たい0れいで、ゲームは延長えんちょうに入はいった。,成長（する）,せいちょう（する）,seichou(suru),growth,子供こどもの成長せいちょうを、親おやは見守みまもっている。,長期,ちょうき,chouki,long term,不況ふきょうが長期ちょうき化かしている。,社長・会長,しゃちょう・かいちょう,市長,しちょう,長い・長さ,ながい・ながさ,生長（する）,せいちょう（する）,長所⇔短所,ちょうしょ⇔たんしょ
0014,今,0014_1.jpg,0014_2.jpg,𠆢（人）,4,常用漢字,2年,N5,9級,なし,コン,kon,キン,kin,,,,,,,いま,ima,,,,,,,,,,,,,,,,,,,いま。<ruby><rt>現在</rt><rb>げんざい</rb></ruby>。このつぎ。,今,いま,ima,"the present, now",山田やまださんなら、たった今いま出でて行いきましたよ。,今後,こんご,kongo,hereafter,今後こんごともよろしくお願ねがいいたします。,今度,こんど,kondo,"this time, next time",「今度こんど」には「今回こんかい」の意味いみと「この次つぎ」の意味いみがある。,今回,こんかい,今週,こんしゅう,今季,こんき,今朝,けさ,今や,いまや
0015,国,0015_1.jpg,0015_2.jpg,囗,8,常用漢字,2年,N5,9級,なし,コク,koku,,,,,,,,,くに,kuni,,,,,,,,,,,,,,,,,,,くに。<ruby><rt>日本</rt><rb>にほん</rb></ruby>。ふるさと。<ruby><rt>旧字</rt><rb>きゅうじ</rb></ruby>は「國」。,国際（的な）,こくさい（てきな）,kokusai(tekina),international,国際連合こくさいれんごうの本部ほんぶはニューヨークにある。,全国,ぜんこく,zenkoku,whole country,全国ぜんこくの天気てんきをお知しらせします。,帰国（する）,きこく（する）,kikoku(suru),return to ～'s country,来年らいねんの3月さんがつに帰国きこくする予定よていです。,外国,がいこく,国内,こくない,国籍,こくせき,国,くに,国家,こっか
0016,十,0016_1.jpg,0016_2.jpg,十,2,常用漢字,1年,N5,10級,なし,ジュウ,juu,ジッ,jittsu,ジュッ,juttsu,,,,,とお,too,と,to,,,,,,,,,,,,,,,,,<ruby><rt>10</rt><rb>じゅう</rb></ruby>。<ruby><rt>十番目</rt><rb>じゅうばんめ</rb></ruby>。じゅうぶん。<ruby><rt>十</rt><rb>じゅう</rb></ruby>の<ruby><rt>形</rt><rb>かたち</rb></ruby>をしたもの。,十分［充分］（な・に）,じゅうぶん［じゅうぶん］（な・に）,juubun(na・ni),"plenty of, full, enough",強つよい風雨ふううに十分じゅうぶん注意ちゅういしてください。,二十歳,はたち,hatachi,twenty years old,日本にほんでは二十歳はたちで成人せいじんとなる。,二十世紀,にじっせいき・にじゅっせいき,"nijisseiki, nijusseiki",20th century,二十世紀にじっせいきは激動げきどうの100年ひゃくねんだった。,不十分［不充分］（な）,ふじゅうぶん［ふじゅうぶん］（な）,十字路,じゅうじろ,十人十色,じゅうにんといろ,十二支,じゅうにし,十八番,じゅうはちばん・おはこ
0017,行,0017_1.jpg,0017_2.jpg,行,6,常用漢字,2年,N5,9級,なし,コウ,kou,ギョウ,gyou,アン,an,,,,,い・く（～が）,i-ku(～ga),ゆ・く（～が）,yu-ku(～ga),おこな・う（～を）,okona-u(～wo),,,,,,,,,,,,,,,いく。おこない、<ruby><rt>行動</rt><rb>こうどう</rb></ruby>。<ruby><rt>広</rt><rb>ひろ</rb></ruby>くいきわたる。ならんでいるもの。<ruby><rt>持</rt><rb>も</rb></ruby>ち<ruby><rt>歩</rt><rb>ある</rb></ruby>く。<ruby><rt>店</rt><rb>みせ</rb></ruby>（<ruby><rt>銀行</rt><rb>ぎんこう</rb></ruby>など）。,行う・行なう,おこなう・おこなう,okonau,"do, carry out",コンピューターでシミュレーションを行おこなう。,行動（する）,こうどう（する）,koudou(suru),"action, behavior",合宿がっしゅくの2日目ふつかめは自由じゆう行動こうどうです。,実行（する）,じっこう（する）,jikkou(suru),put ～ into practice,言いうのは簡単かんたんだが、実行じっこうするのは難むずかしい。,行事,ぎょうじ,銀行,ぎんこう,急行,きゅうこう,旅行（する）,りょこう（する）,行われる,おこなわれる
0018,子,0018_1.jpg,0018_2.jpg,子,3,常用漢字,1年,N5,10級,なし,シ,shi,ス,su,,,,,,,こ,ko,ね,ne,,,,,,,,,,,,,,,,,こども。<ruby><rt>親</rt><rb>おや</rb></ruby>に<ruby><rt>対</rt><rb>たい</rb></ruby>する<ruby><rt>子供</rt><rb>こども</rb></ruby>の<ruby><rt>関係</rt><rb>かんけい</rb></ruby>にあるもの。<ruby><rt>小</rt><rb>ちい</rb></ruby>さいもの。<ruby><rt>種</rt><rb>たね</rb></ruby>。<ruby><rt>十二支</rt><rb>じゅうにし</rb></ruby>で、ネズミ。,子供,こども,kodomo,"child, children",子供こどもは大人おとなを見みて成長せいちょうする。,調子,ちょうし,choushi,"tune, condition",大学だいがくのパソコンは調子ちょうしがいいときと悪わるいときがある。,様子,ようす,yousu,state of affairs,病気びょうきの友達ともだちが心配しんぱいになって、寮りょうに様子ようすを見みに行いった。,女子・男子,じょし・だんし,息子・子息,むすこ・しそく,椅子・車椅子,いす・くるまいす,子会社,こがいしゃ,原子・原子力,げんし・げんしりょく
0019,時,0019_1.jpg,0019_2.jpg,日,10,常用漢字,2年,N5,9級,なし,ジ,ji,,,,,,,,,とき,toki,,,,,,,,,,,,,,,,,,,とき。<ruby><rt>1時間</rt><rb>いちじかん</rb></ruby>。そのとき。,時間,じかん,jikan,time,忙いそがしくて、遊あそんでいる時間じかんがない。,時,とき,toki,time,こまった時ときは学生相談室がくせいそうだんしつへ行いってみよう。,時期,じき,jiki,"period, time",ゴールデンウィークの時期じき、高速道路こうそくどうろは渋滞じゅうたいする。,時代,じだい,臨時,りんじ,時計,とけい,時刻,じこく,時々,ときどき
0020,三,0020_1.jpg,0020_2.jpg,一,3,常用漢字,1年,N5,10級,なし,サン,san,,,,,,,,,み,mi,み・つ,mi-tsu,みっ・つ,mit-tsu,,,,,,,,,,,,,,,<ruby><rt>3</rt><rb>さん</rb></ruby>。<ruby><rt>三</rt><rb>みっ</rb></ruby>つ。<ruby><rt>三番目</rt><rb>さんばんめ</rb></ruby>。<ruby><rt>何度</rt><rb>なんど</rb></ruby>も。,三角,さんかく,sankaku,triangle,コンビニで三角さんかくのおにぎりを買かった。,第三者,だいさんしゃ,daisansha,third party,公共事業こうきょうじぎょうの会計かいけいは第三者だいさんしゃがチェックするべきだ。,再三,さいさん,saisan,again and again,再三さいさん再四さいし注意ちゅういしたが聞きいてくれなかった。,三日月,みかづき,二人三脚,ににんさんきゃく,三拍子,さんびょうし,三次元,さんじげん,三味線,しゃみせん
